date,arima_forecast,prophet_forecast,xgboost_forecast,ensemble_forecast
2024-09-24,,3661691.8772180653,,
2024-09-25,,3689416.337229921,,
2024-09-26,,3813790.7941711103,,
2024-09-27,,3671707.1020739814,,
2024-09-28,,5052994.663778875,,
2024-09-29,,5358271.516099445,,
2024-09-30,,3858486.037701246,,
2024-10-01,,3837744.7246708455,,
2024-10-02,,3964518.9712862154,,
2024-10-03,,4195655.428458386,,
2024-10-04,,4165570.401629402,,
2024-10-05,,5665368.579242549,,
2024-10-06,,6088662.1128862435,,
2024-10-07,,4702719.246175957,,
2024-10-08,,4795292.894606764,,
2024-10-09,,5029965.303757365,,
2024-10-10,,5361109.2690740805,,
2024-10-11,,5420168.323051182,,
2024-10-12,,6999398.668490053,,
2024-10-13,,7485664.108521334,,
2024-10-14,,6143189.583481643,,
2024-10-15,,6264378.709506823,,
2024-10-16,,6509274.941007122,,
2024-10-17,,6831443.317856547,,
2024-10-18,,6861297.959183021,,
2024-10-19,,8394421.60405277,,
2024-10-20,,8813284.906254148,,
2024-10-21,,7381548.891064951,,
2024-10-22,,7398812.4648796385,,
2024-10-23,,7524129.674167406,,
